General
Serial Number,IQDVT Version,CV VERSION,DUT VERSION,Date,Time
,1.8.7.2,wlan_7.2.300@r1044+a+233+a+23-e90bc1,2.27.1_r1044+a+233+a+23-e90bc1,2026/1/19,16:31
XTAL Calibration
Test,Band,OffsetWord,Freq Offset[PPM],Limit,Temperature,Pass/Fail
1,2G,46,0.07, ,47,Pass
TX Calibration 24GHz
Test,Band,Tx Mode,Ant,Rate,BW,Frequency,Clock Error,Power offset,Measure Power,Power Limit,Power Pass/Fail,Power @ EVM -25dB,Max Power Evm,Power & EVM Limit [>=23dBm] [<=-25dB],Power @ EVM -35dB,UEvm, Power & EVM Limit [>=20dBm] [<=-35dB],S2D GAIN Reg1,S2D OFFSET Reg1,COEFF A Reg1,COEFF B Reg1,Error Reg1,Error Limit Reg1 [<1],Temp,Pass/Fail
7.5,5G,802.11ax,1,MCS7,20MHz,5700,-0.16,32,17.43,(17.00 - 18.00),Pass,21.94,-28.91,Pass,19.94,-40.74,Pass,3,44,458,-227,0.47,Pass,49,Pass
7.5,5G,802.11ax,2,MCS7,20MHz,5700,-0.16,32,17.25,(17.00 - 18.00),Pass,22.80,-27.70,Pass,20.80,-38.07,Pass,3,41,491,-1129,0.42,Pass,49,Pass
7.5,5G,802.11ax,3,MCS7,20MHz,5700,-0.16,31,17.39,(17.00 - 18.00),Pass,21.89,-27.14,Pass,19.91,-38.56,Pass,3,42,483,-879,0.41,Pass,49,Pass
7.6,5G,802.11ax,0,MCS7,20MHz,5805,-0.19,35,17.26,(17.00 - 18.00),Pass,21.84,-26.64,Pass,18.77,-37.31,Pass,4,44,363,1042,0.30,Pass,49,Pass
7.6,5G,802.11ax,1,MCS7,20MHz,5805,-0.22,35,17.40,(17.00 - 18.00),Pass,21.93,-25.86,Pass,18.88,-36.87,Pass,3,46,454,-332,0.43,Pass,50,Pass
7.6,5G,802.11ax,2,MCS7,20MHz,5805,-0.21,35,17.37,(17.00 - 18.00),Pass,21.94,-26.42,Pass,18.88,-36.88,Pass,3,43,485,-1067,0.49,Pass,49,Pass
7.6,5G,802.11ax,3,MCS7,20MHz,5805,-0.23,34,17.52,(17.00 - 18.00),Pass,22.06,-25.80,Pass,19.06,-38.96,Pass,3,46,480,-485,0.39,Pass,49,Pass
TX Calibration 5GHz
Test,Band,Tx Mode,Ant,Rate,BW,Frequency,Clock Error,Power offset,Measure Power,Power Limit,Power Pass/Fail,Power @ EVM -25dB,Max Power Evm,Power & EVM Limit [>=19dBm] [<=-25dB],Power @ EVM -36dB,UEvm, Power & EVM Limit [>=16dBm] [<=-36dB],S2D GAIN Reg1,S2D OFFSET Reg1,COEFF A Reg1,COEFF B Reg1,Error Reg1,Error Limit Reg1 [<1],Temp,Pass/Fail
8.1,5G,802.11ax,0,MCS7,40MHz,5190,-0.25,35,17.28,(17.00 - 18.00),Pass,21.69,-27.94,Pass,19.75,-36.27,Pass,4,41,367,963,0.21,Pass,49,Pass
8.1,5G,802.11ax,1,MCS7,40MHz,5190,-0.26,35,17.69,(17.00 - 18.00),Pass,22.03,-25.16,Pass,19.14,-38.40,Pass,3,43,458,-395,0.33,Pass,50,Pass
8.1,5G,802.11ax,2,MCS7,40MHz,5190,-0.27,35,17.51,(17.00 - 18.00),Pass,21.88,-26.46,Pass,18.97,-38.16,Pass,4,41,370,879,0.34,Pass,49,Pass
8.1,5G,802.11ax,3,MCS7,40MHz,5190,-0.28,34,17.47,(17.00 - 18.00),Pass,21.88,-27.29,Pass,19.96,-36.35,Pass,4,42,367,993,0.27,Pass,49,Pass
8.2,5G,802.11ax,0,MCS7,40MHz,5510,-0.29,34,17.38,(17.00 - 18.00),Pass,21.79,-26.05,Pass,19.90,-36.32,Pass,4,42,365,1093,0.24,Pass,49,Pass
8.2,5G,802.11ax,1,MCS7,40MHz,5510,-0.31,35,17.46,(17.00 - 18.00),Pass,20.88,-26.97,Pass,18.93,-36.45,Pass,4,43,343,1382,0.34,Pass,50,Pass
8.2,5G,802.11ax,2,MCS7,40MHz,5510,-0.32,35,17.55,(17.00 - 18.00),Pass,20.99,-28.29,Pass,19.04,-36.89,Pass,4,42,368,1141,0.31,Pass,50,Pass
8.2,5G,802.11ax,3,MCS7,40MHz,5510,-0.33,34,17.53,(17.00 - 18.00),Pass,20.99,-28.83,Pass,19.07,-39.13,Pass,4,43,365,1236,0.30,Pass,49,Pass
8.3,5G,802.11ax,0,MCS7,40MHz,5670,-0.34,33,17.68,(17.00 - 18.00),Pass,23.23,-26.80,Pass,21.30,-36.55,Pass,4,42,367,1184,0.21,Pass,50,Pass
8.3,5G,802.11ax,1,MCS7,40MHz,5670,-0.35,32,17.39,(17.00 - 18.00),Pass,22.87,-27.47,Pass,20.93,-37.62,Pass,3,43,462,-419,0.50,Pass,50,Pass
8.3,5G,802.11ax,2,MCS7,40MHz,5670,-0.37,33,17.69,(17.00 - 18.00),Pass,23.23,-26.84,Pass,20.26,-38.31,Pass,4,43,371,1394,0.39,Pass,50,Pass
